This is Ipopt version 3.12, running with linear solver ma86.

Number of nonzeros in equality constraint Jacobian...:   102090
Number of nonzeros in inequality constraint Jacobian.:   775884
Number of nonzeros in Lagrangian Hessian.............:     6806

Total number of variables............................:     6806
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     6806
                     variables with only upper bounds:        0
Total number of equality constraints.................:       15
Total number of inequality constraints...............:      114
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:      114
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40 2.0506374e+012 8.99e+003 9.31e+012  -1.0 3.39e+000    -  1.00e+000 1.00e+000f  1
  41 1.3015879e+012 8.81e+003 3.92e+012  -1.0 3.36e+000    -  1.00e+000 1.00e+000f  1
  42 9.0347354e+011 8.30e+003 1.64e+012  -1.0 2.86e+000    -  1.00e+000 1.00e+000f  1
  43 6.9926435e+011 7.93e+003 6.84e+011  -1.0 1.37e+000    -  1.00e+000 1.00e+000f  1
  44 6.0668345e+011 7.62e+003 2.77e+011  -1.0 2.02e-001    -  1.00e+000 1.00e+000f  1
  45 5.7899670e+011 7.36e+003 1.05e+011  -1.0 4.74e-002    -  1.00e+000 1.00e+000f  1
  46 5.7892746e+011 7.33e+003 9.28e+010  -1.0 5.88e-002    -  1.00e+000 1.25e-001f  4
  47 5.8874053e+011 7.11e+003 2.81e+010  -1.0 6.01e-002    -  1.00e+000 1.00e+000h  1
  48 6.1366095e+011 6.92e+003 1.07e+010  -1.0 6.38e-002    -  1.00e+000 1.00e+000h  1
  49 6.4391807e+011 6.76e+003 3.55e+009  -1.0 4.94e-002    -  1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 6.7410046e+011 6.61e+003 7.49e+008  -1.0 2.01e-002    -  1.00e+000 1.00e+000h  1
  51 7.0331652e+011 6.47e+003 3.11e+008  -1.0 1.11e-002    -  1.00e+000 1.00e+000h  1
  52 7.3152504e+011 6.35e+003 2.82e+008  -1.0 1.02e-002    -  1.00e+000 1.00e+000h  1
  53 7.5870928e+011 6.24e+003 2.57e+008  -1.0 9.29e-003    -  1.00e+000 1.00e+000h  1
  54 7.8496976e+011 6.14e+003 2.36e+008  -1.0 8.53e-003    -  1.00e+000 1.00e+000h  1
  55 8.1039359e+011 6.04e+003 2.17e+008  -1.0 7.87e-003    -  1.00e+000 1.00e+000h  1
  56 8.3505502e+011 5.96e+003 2.02e+008  -1.0 7.30e-003    -  1.00e+000 1.00e+000h  1
  57 8.5901801e+011 5.87e+003 1.88e+008  -1.0 6.80e-003    -  1.00e+000 1.00e+000h  1
  58 8.8233815e+011 5.80e+003 1.75e+008  -1.0 6.35e-003    -  1.00e+000 1.00e+000h  1
  59 9.0506408e+011 5.73e+003 1.64e+008  -1.0 5.96e-003    -  1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 9.2723863e+011 5.66e+003 1.55e+008  -1.0 5.61e-003    -  1.00e+000 1.00e+000h  1
  61 9.4889978e+011 5.60e+003 1.46e+008  -1.0 5.29e-003    -  1.00e+000 1.00e+000h  1
  62 9.7008134e+011 5.53e+003 1.38e+008  -1.0 5.00e-003    -  1.00e+000 1.00e+000h  1
  63 9.9081362e+011 5.48e+003 1.31e+008  -1.0 4.75e-003    -  1.00e+000 1.00e+000h  1
  64 1.0111239e+012 5.42e+003 1.24e+008  -1.0 4.51e-003    -  1.00e+000 1.00e+000h  1
  65 1.0310367e+012 5.37e+003 1.18e+008  -1.0 4.29e-003    -  1.00e+000 1.00e+000h  1
  66 1.0505743e+012 5.32e+003 1.13e+008  -1.0 4.10e-003    -  1.00e+000 1.00e+000h  1
  67 1.0697572e+012 5.27e+003 1.08e+008  -1.0 3.91e-003    -  1.00e+000 1.00e+000h  1
  68 1.0886039e+012 5.23e+003 1.03e+008  -1.0 3.75e-003    -  1.00e+000 1.00e+000h  1
  69 1.1071313e+012 5.19e+003 9.88e+007  -1.0 3.59e-003    -  1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70 1.1253551e+012 5.14e+003 9.49e+007  -1.0 3.45e-003    -  1.00e+000 1.00e+000h  1
  71 1.1432896e+012 5.10e+003 9.11e+007  -1.0 3.31e-003    -  1.00e+000 1.00e+000h  1
  72 1.1609482e+012 5.07e+003 8.77e+007  -1.0 3.19e-003    -  1.00e+000 1.00e+000h  1
  73 1.1783432e+012 5.03e+003 8.45e+007  -1.0 3.07e-003    -  1.00e+000 1.00e+000h  1
  74 1.1954859e+012 4.99e+003 8.14e+007  -1.0 2.96e-003    -  1.00e+000 1.00e+000h  1
  75 1.2123870e+012 4.96e+003 7.86e+007  -1.0 2.86e-003    -  1.00e+000 1.00e+000h  1
  76 1.2290565e+012 4.93e+003 7.59e+007  -1.0 2.76e-003    -  1.00e+000 1.00e+000h  1
  77 1.2455035e+012 4.89e+003 7.34e+007  -1.0 2.67e-003    -  1.00e+000 1.00e+000h  1
  78 1.2617366e+012 4.86e+003 7.11e+007  -1.0 2.59e-003    -  1.00e+000 1.00e+000h  1
  79 1.2777641e+012 4.83e+003 6.88e+007  -1.0 2.51e-003    -  1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80 1.2935934e+012 4.80e+003 6.67e+007  -1.0 2.43e-003    -  1.00e+000 1.00e+000h  1
  81 1.3092318e+012 4.77e+003 6.47e+007  -1.0 2.36e-003    -  1.00e+000 1.00e+000h  1
  82 1.3246859e+012 4.75e+003 6.29e+007  -1.0 2.29e-003    -  1.00e+000 1.00e+000h  1
  83 1.3399622e+012 4.72e+003 6.11e+007  -1.0 2.22e-003    -  1.00e+000 1.00e+000h  1
  84 1.3550666e+012 4.69e+003 5.94e+007  -1.0 2.16e-003    -  1.00e+000 1.00e+000h  1
  85 1.3700047e+012 4.67e+003 5.78e+007  -1.0 2.10e-003    -  1.00e+000 1.00e+000h  1
  86 1.3847819e+012 4.64e+003 5.62e+007  -1.0 2.05e-003    -  1.00e+000 1.00e+000h  1
  87 1.3994033e+012 4.62e+003 5.47e+007  -1.0 1.99e-003    -  1.00e+000 1.00e+000h  1
  88 1.4138737e+012 4.59e+003 5.33e+007  -1.0 1.94e-003    -  1.00e+000 1.00e+000h  1
  89 1.4281977e+012 4.57e+003 5.20e+007  -1.0 1.89e-003    -  1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90 1.4423797e+012 4.55e+003 5.07e+007  -1.0 1.85e-003    -  1.00e+000 1.00e+000h  1
  91 1.4564236e+012 4.53e+003 4.95e+007  -1.0 1.80e-003    -  1.00e+000 1.00e+000h  1
  92 1.4703336e+012 4.51e+003 4.83e+007  -1.0 1.76e-003    -  1.00e+000 1.00e+000h  1
  93 1.4841134e+012 4.49e+003 4.72e+007  -1.0 1.72e-003    -  1.00e+000 1.00e+000h  1
  94 1.4977665e+012 4.47e+003 4.61e+007  -1.0 1.68e-003    -  1.00e+000 1.00e+000h  1
  95 1.5112963e+012 4.45e+003 4.51e+007  -1.0 1.64e-003    -  1.00e+000 1.00e+000h  1
  96 1.5247062e+012 4.43e+003 4.41e+007  -1.0 1.61e-003    -  1.00e+000 1.00e+000h  1
  97 1.5379992e+012 4.41e+003 4.32e+007  -1.0 1.57e-003    -  1.00e+000 1.00e+000h  1
  98 1.5511784e+012 4.39e+003 4.22e+007  -1.0 1.54e-003    -  1.00e+000 1.00e+000h  1
  99 1.5642466e+012 4.37e+003 4.14e+007  -1.0 1.51e-003    -  1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100 1.5772066e+012 4.35e+003 4.05e+007  -1.0 1.48e-003    -  1.00e+000 1.00e+000h  1
